ESV	Root	Lat	Lon	Verses	Comment
Kabzeel	Adadah	~31.1858	~34.96745	Josh 15:21, 2 Sam 23:20, 1 Chr 11:22	
Kadesh 1	Kadesh-barnea	30.68771281376111	34.49479554246946	Gen 14:7, Gen 16:14, Gen 20:1, Num 13:26, Num 20:1, Num 20:14, Num 20:16, Num 20:22, Num 27:14, Num 33:36, Num 33:37, Deut 1:46, Judg 11:16, Judg 11:17, Ps 29:8	
Kadesh 2		34.558327	36.522943	2 Sam 24:6	
Kadesh-barnea		30.68771281376111	34.49479554246946	Num 32:8, Num 34:4, Deut 1:2, Deut 1:19, Deut 2:14, Deut 9:23, Josh 10:41, Josh 14:6, Josh 14:7, Josh 15:3	
Kain		31.500000	35.166667	Num 24:22, Josh 15:57	now Yaqin
Kamon	Gilead	<>32.042523	<>35.724241	Judg 10:5	
Kanah 1		32.138219	35.038971	Josh 16:8, Josh 17:9	
Kanah 2	Cana	32.74701517958585	35.33877162058164	Josh 19:28	
Karka	Azmon	~30.958506	~34.380500	Josh 15:3	
Karkor	Peniel	~32.1843727808126	~35.70287002746794	Judg 8:10	
Karnaim	Ashteroth-karnaim	32.7666666667	36.0166666667	Amos 6:13	
Kartah	Kitron	32.753141	35.279335	Josh 21:34	
Kartan	Hammath	~33.125828	~35.165000	Josh 21:32	
Kattath	Kitron	32.753141	35.279335	Josh 19:15	
Kedar	Arabia	~>27.4	~>37.7	Ps 120:5, Sng 1:5, Isa 21:16, Isa 21:17, Isa 42:11, Isa 60:7, Jer 2:10, Jer 49:28, Ezek 27:21	
Kedemoth		31.646073	35.894537	Deut 2:26, Josh 13:18, Josh 21:37, 1 Chr 6:79	~; esv map
Kedesh 1		33.11298357486105	35.53361334150225	Josh 12:22, Josh 19:37, Josh 20:7, Josh 21:32, Judg 4:9, Judg 4:10, Judg 4:11, 2 Kgs 15:29, 1 Chr 6:76	
Kedesh 2	Kadesh-barnea	30.68771281376111	34.49479554246946	Josh 15:23	
Kedesh 3	Kishion	32.559061	35.246206	1 Chr 6:72	
Kedesh-naphtali	Kedesh 1	33.11298357486105	35.53361334150225	Judg 4:6	
Kehelathah	Mount Hor 1	~30.317396	~35.407152	Num 33:22, Num 33:23	
Keilah		31.614175	35.002752	Josh 15:44, 1 Sam 23:1, 1 Sam 23:2, 1 Sam 23:3, 1 Sam 23:4, 1 Sam 23:5, 1 Sam 23:6, 1 Sam 23:7, 1 Sam 23:8, 1 Sam 23:10, 1 Sam 23:11, 1 Sam 23:12, 1 Sam 23:13, Neh 3:17, Neh 3:18	now Khirbet Qila
Kenath		32.756919	36.616400	Num 32:42, 1 Chr 2:23	
Kerioth	Kiriathaim 1	31.58333333329998	35.70000000000012	Jer 48:24, Amos 2:2	
Kerioth-hezron	Moladah	~31.162327	~35.057114	Josh 15:25	
Kibroth-hattaavah	Hazeroth	~28.916667	~34.500000	Num 11:34, Num 11:35, Num 33:16, Num 33:17, Deut 9:22	
Kibzaim		31.833333	35.300000	Josh 21:22	~; now Kabus
Kidron		31.772134	35.236596	2 Sam 15:23, 1 Kgs 2:37, 1 Kgs 15:13, 2 Kgs 23:4, 2 Kgs 23:6, 2 Kgs 23:12, 2 Chr 15:16, 2 Chr 29:16, Jer 31:40	
Kidron Valley	Kidron	31.772134	35.236596	2 Chr 30:14, John 18:1	
Kinah	Adadah	~31.1858	~34.96745	Josh 15:22	
King's Highway	Kir	~31.18132579594509	~35.70214779044711	Num 20:17, Num 21:22	
King's Pool	Jerusalem	<31.777444	<35.234935	Neh 2:14	
King's Valley	Jerusalem	~31.777444	~35.234935	Gen 14:17, 2 Sam 18:18	
Kir		31.18132579594509	35.70214779044711	2 Kgs 16:9, Isa 15:1, Isa 22:6, Amos 1:5, Amos 9:7	
Kir-hareseth	Kir	31.18132579594509	35.70214779044711	2 Kgs 3:25, Isa 16:7, Isa 16:11, Jer 48:31, Jer 48:36	
Kiriathaim 1		31.58333333329998	35.70000000000012	Num 32:37, Josh 13:19, Jer 48:1, Jer 48:23, Ezek 25:9	
Kiriathaim 2	Hammath	~33.125828	~35.165000	1 Chr 6:76	
Kiriath-arba	Hebron	31.53577362133176	35.09409986578734	Gen 23:2, Gen 35:27, Josh 14:15, Josh 15:13, Josh 15:54, Josh 20:7, Josh 21:11, Judg 1:10, Neh 11:25	
Kiriath-arim	Kiriath-jearim	31.771104?	34.993812?	Ezra 2:25	
Kiriath-baal	Kiriath-jearim	31.771104?	34.993812?	Josh 15:60, Josh 18:14	
Kiriath-huzoth	Pisgah	~31.76503129703305	~35.71856575741812	Num 22:39	
Kiriath-jearim		31.771104?	34.993812?	Josh 9:17, Josh 15:9, Josh 15:60, Josh 18:14, Josh 18:15, Josh 18:28, Judg 18:12, 1 Sam 6:21, 1 Sam 7:1, 1 Sam 7:2, 1 Chr 13:5, 1 Chr 13:6, 2 Chr 1:4, Neh 7:29, Jer 26:20	
Kiriath-sannah	Debir 1	31.41666959977098	34.96667012280085	Josh 15:49	
Kiriath-sepher	Debir 1	31.41666959977098	34.96667012280085	Josh 15:15, Josh 15:16, Judg 1:11, Judg 1:12	
Kishion		32.559061	35.246206	Josh 19:20, Josh 21:28	~
Kishon		32.761948	35.064096	Judg 4:7, Judg 4:13, Judg 5:21, 1 Kgs 18:40, Ps 83:9	river
Kitron		32.753141	35.279335	Judg 1:30	
Kittim	Cyprus	35.018306	33.207693	Num 24:24, Dan 11:30	
Koa	Ecbatana	>34.798311	>48.514966	Ezek 23:23	http://www.answers.com/topic/mede
Kue	Tarsus	>36.91802695356275	>34.89153398422567	1 Kgs 10:28, 2 Chr 1:16	from tyndale
Laban	Ashnah	~31.8099	~34.9365	Deut 1:1	
Lachish		31.56485056116292	34.8467256730566	Josh 10:3, Josh 10:5, Josh 10:23, Josh 10:31, Josh 10:32, Josh 10:33, Josh 10:34, Josh 10:35, Josh 12:11, Josh 15:39, 2 Kgs 14:19, 2 Kgs 18:14, 2 Kgs 18:17, 2 Kgs 19:8, 2 Chr 11:9, 2 Chr 25:27, 2 Chr 32:9, Neh 11:30, Isa 36:2, Isa 37:8, Jer 34:7, Mic 1:13	
Lahmam		31.566667	34.900000	Josh 15:40	~
Laish	Dan	33.24865997897308	35.65248345039043	Judg 18:7, Judg 18:14, Judg 18:27, Judg 18:29	
Laishah		31.800000	35.250000	Isa 10:30	now Isawiya
Lakkum	Mount Tabor	~32.68695640243183	~35.39091304299688	Josh 19:33	
Laodicea		37.76986723761415	29.06450110237073	Col 2:1, Col 4:13, Col 4:15, Col 4:16, Rev 1:11, Rev 3:14	
Lasea		34.93491734364034	24.80919899172515	Acts 27:8	
Lasha		31.718148	35.584826	Gen 10:19	http://www.christusrex.org/www1/ofm/mad/sections/section3.html
Lasharon		32.725440	35.467002	Josh 12:18	now Sharona
Lebanon		>33.752479	>35.590804	Deut 1:7, Deut 3:25, Deut 11:24, Josh 1:4, Josh 9:1, Josh 13:5, Josh 13:6, Judg 9:15, 1 Kgs 4:33, 1 Kgs 5:6, 1 Kgs 5:9, 1 Kgs 5:14, 1 Kgs 9:19, 2 Kgs 14:9, 2 Kgs 19:23, 2 Chr 2:8, 2 Chr 2:16, 2 Chr 8:6, 2 Chr 25:18, Ezra 3:7, Ps 29:5, Ps 29:6, Ps 72:16, Ps 92:12, Ps 104:16, Sng 3:9, Sng 4:8, Sng 4:11, Sng 4:15, Sng 5:15, Sng 7:4, Isa 2:13, Isa 10:34, Isa 14:8, Isa 29:17, Isa 33:9, Isa 35:2, Isa 37:24, Isa 40:16, Isa 60:13, Jer 18:14, Jer 22:6, Jer 22:20, Jer 22:23, Ezek 17:3, Ezek 27:5, Ezek 31:3, Ezek 31:15, Ezek 31:16, Hos 14:5, Hos 14:6, Hos 14:7, Nahum 1:4, Hab 2:17, Zech 10:10, Zech 11:1	region
Lebaoth	Madmannah	~31.391668	~34.940502	Josh 15:32	
Leb-kamai	Ur	>30.9620520474569	>46.10374195774169	Jer 51:1	
Lebo-hamath	Hamath	35.136204	36.749488	Num 13:21, Num 34:8, Josh 13:5, Judg 3:3, 1 Kgs 8:65, 2 Kgs 14:25, 1 Chr 13:5, 2 Chr 7:8, Ezek 47:15, Ezek 47:20, Ezek 48:1, Amos 6:14	
Lebonah		32.070770	35.239871	Judg 21:19	now al-Lubban
Lehem	Bethlehem 1	31.70536129174666	35.21026630105202	1 Chr 4:22	?
Lehi	Beth-shemesh 1	~31.75274835811488	~34.97660913147738	Judg 15:9, Judg 15:14, Judg 15:19, 2 Sam 23:11	
Leshem	Dan	33.24865997897308	35.65248345039043	Josh 19:47	
Libnah 1	Lachish	~31.56485056116292	~34.8467256730566	Josh 10:29, Josh 10:31, Josh 10:32, Josh 10:39, Josh 12:15, Josh 15:42, Josh 21:13, 2 Kgs 8:22, 2 Kgs 19:8, 2 Kgs 23:31, 2 Kgs 24:18, 1 Chr 6:57, 2 Chr 21:10, Isa 37:8, Jer 52:1	
Libnah 2	Ashnah	~31.8099	~34.9365	Num 33:20, Num 33:21	
Libya	Cyrene	>32.824979	>21.858301	Ezek 30:5, Acts 2:10	
Lod		31.95138888888889	34.89527777777778	1 Chr 8:12, Ezra 2:33, Neh 7:37, Neh 11:35	
Lo-debar		32.662488	35.783568	2 Sam 9:4, 2 Sam 9:5, 2 Sam 17:27, Amos 6:13	
Lower Beth-horon		31.87892595986906	35.12356744466153	Josh 16:3, Josh 18:13, 1 Kgs 9:17, 2 Chr 8:5	
Lower and Upper Beth-horon	Lower Beth-horon	31.87892595986906	35.12356744466153	1 Chr 7:24	
Lud	Lod	31.95138888888889	34.89527777777778	Isa 66:19, Jer 46:9, Ezek 27:10, Ezek 30:5	
Luhith	Horonaim	~31.288056	~35.515000	Isa 15:5, Jer 48:5	
Luz 1	Bethel 1	31.93053920580005	35.22103274923676	Gen 28:19, Gen 35:6, Gen 48:3, Josh 16:2, Josh 18:13, Judg 1:23	
Luz 2		37?	36.57?	Judg 1:26	~
Lycaonia	Iconium	>37.88353038890398	>32.4942625657248	Acts 14:6	region
Lycia	Patara	>36.27471786927205	>29.3186378339052	Acts 27:5	region
Lydda	Lod	31.95138888888889	34.89527777777778	Acts 9:32, Acts 9:35, Acts 9:38	
Lystra		37.57813498250009	32.45318282875567	Acts 14:6, Acts 14:8, Acts 14:21, Acts 16:1, Acts 16:2, 2 Tim 3:11	
Maacah	Aram-maacah	~33.2	~36.5	2 Sam 10:6, 2 Sam 10:8, 2 Sam 23:34, 1 Chr 19:7	
Maacath	Aram-maacah	~33.2	~36.5	Josh 13:13	
Maarath		31.621003	35.102328	Josh 15:59	now Bayt Ummar
Maareh-geba	Gibeah 1	~31.82378102460309	~35.23100936128631	Judg 20:33	
Macedonia	Thessalonica	>40.632155565205	>22.9320868699276	Acts 16:9, Acts 16:10, Acts 16:12, Acts 18:5, Acts 19:21, Acts 19:22, Acts 20:1, Acts 20:3, Rom 15:26, 1 Cor 16:5, 2 Cor 1:16, 2 Cor 2:13, 2 Cor 7:5, 2 Cor 8:1, 2 Cor 9:2, 2 Cor 11:9, Phil 4:15, 1 Thes 1:7, 1 Thes 1:8, 1 Thes 4:10, 1 Tim 1:3	region
Machpelah		31.52464794555393	35.11073465087356	Gen 23:9, Gen 23:17, Gen 23:19, Gen 25:9, Gen 49:30, Gen 50:13	
Madmannah		31.391668	34.940502	Josh 15:31, 1 Chr 2:49	
Madmen	Dibon 1	31.49684513710609	35.78284105296996	Jer 48:2	
Madmenah	Gebim	~31.800000	~35.250000	Isa 10:31	
Madon		32.799879	35.459506	Josh 11:1, Josh 12:19	
Magadan		32.84733494629723	35.5229361797708	Matt 15:39	
Magog	Gog	~>46	~>47	Ezek 38:2, Ezek 39:6, Rev 20:8	
Mahalab	Ahlab	33.02498036359259	35.44544657992798	Josh 19:29	
Mahanaim		32.214708?	35.632914?	Gen 32:2, Josh 13:26, Josh 13:30, Josh 21:38, 2 Sam 2:8, 2 Sam 2:12, 2 Sam 2:29, 2 Sam 17:24, 2 Sam 17:27, 2 Sam 19:32, 1 Kgs 2:8, 1 Kgs 4:14, 1 Chr 6:80	
Mahaneh-dan		31.758315	34.994252	Judg 13:25, Judg 18:12	~
Makaz	Shaalbim	~31.870364	~34.981728	1 Kgs 4:9	
Makheloth	Mount Hor 1	~30.317396	~35.407152	Num 33:25, Num 33:26	
Makkedah		31.935117	34.781326	Josh 10:10, Josh 10:16, Josh 10:17, Josh 10:21, Josh 10:28, Josh 10:29, Josh 12:16, Josh 15:41	~
Malta		35.85282675242785	14.53243601407711	Acts 28:1	
Mamre		31.54909871686872	35.09356062020027	Gen 23:17, Gen 23:19, Gen 25:9, Gen 35:27, Gen 49:30, Gen 50:13	
Manahath		31.752603	35.181972	1 Chr 8:6	now Malha
Maon		31.41666666666668	35.1166666666667	Josh 15:55, 1 Sam 23:24, 1 Sam 23:25, 1 Sam 25:2	
Marah		29.350000	32.933333	Ex 15:23, Num 33:8, Num 33:9	~
Mareal		32.697409	35.241789	Josh 19:11	now Malul
Mareshah		31.60393321295081	34.90237777777779	Josh 15:44, 2 Chr 11:8, 2 Chr 14:9, 2 Chr 14:10, 2 Chr 20:37, Mic 1:15	
Maroth	Shaphir	~31.743719	~34.694006	Mic 1:12	
Mashal	Abdon	~33.046264	~35.172513	1 Chr 6:74	
Masrekah	Bozrah 1	~30.734691	~35.606250	Gen 36:36, 1 Chr 1:47	
Massah	Rephidim	~28.73106102564323	~33.84169995726504	Ex 17:7, Deut 6:16, Deut 9:22, Deut 33:8, Ps 95:8	
Mattanah	Lasha	~31.718148	~35.584826	Num 21:18, Num 21:19	
Mearah		33.633333	35.433333	Josh 13:4	~
Meconah	Ain 2	~31.370835	~34.860665	Neh 11:28	
Medeba		31.72045763248588	35.79197231962891	Num 21:30, Josh 13:9, Josh 13:16, 1 Chr 19:7, Isa 15:2	
Media	Ecbatana	>34.798311	>48.514966	Ezra 6:2, Est 1:3, Est 1:14, Est 1:18, Est 10:2, Isa 21:2, Jer 25:25, Dan 8:20	
Megiddo		32.58418313614938	35.18229165870594	Josh 12:21, Josh 17:11, Judg 1:27, Judg 5:19, 1 Kgs 4:12, 1 Kgs 9:15, 2 Kgs 9:27, 2 Kgs 23:29, 2 Kgs 23:30, 1 Chr 7:29, 2 Chr 35:22, Zech 12:11	
Me-jarkon	Rakkon	~32.132898	~34.788144	Josh 19:46	
Memphis		29.849632	31.253958	Isa 19:13, Jer 2:16, Jer 44:1, Jer 46:14, Jer 46:19, Ezek 30:13, Ezek 30:16, Hos 9:6	http://en.wikipedia.org/wiki/Memphis%2C_Egypt
Mephaath		31.850000	35.933333	Josh 13:18, Josh 21:37, 1 Chr 6:79, Jer 48:21	
Merathaim	Babel	32.53650368616845	44.42088287373876	Jer 50:21	
Meribah 1	Kadesh-barnea	~30.68771281376111	~34.49479554246946	Num 20:13, Num 20:24, Num 27:14, Ps 81:7, Ps 106:32	
Meribah 2	Rephidim	~28.73106102564323	~33.84169995726504	Ex 17:7, Deut 33:8, Ps 95:8	
Meribah-kadesh	Kadesh-barnea	~30.68771281376111	~34.49479554246946	Deut 32:51, Ezek 47:19, Ezek 48:28	
Merom		33.075269	35.605480	Josh 11:5, Josh 11:7	lake
Meroz	Mount Tabor	~32.68695640243183	~35.39091304299688	Judg 5:23	
Mesha		28.857260?	34.859127?	Gen 10:30	~
Meshech	Gog	>46	>47	Ps 120:5, Ezek 27:13, Ezek 38:2, Ezek 38:3, Ezek 39:1	
Meshech-Tubal	Gog	>46	>47	Ezek 32:26	
Mesopotamia	Babel	>32.53650368616845	>44.42088287373876	Gen 24:10, Deut 23:4, Judg 3:8, Judg 3:10, 1 Chr 19:6, Acts 2:9, Acts 7:2	region
Metheg-ammah	Gath	31.69352950368834	34.84388288576839	2 Sam 8:1	
Michmas	Michmash	31.87018434231688	35.27923581936973	Ezra 2:27, Neh 7:31	
Michmash		31.87018434231688	35.27923581936973	1 Sam 13:2, 1 Sam 13:5, 1 Sam 13:11, 1 Sam 13:16, 1 Sam 13:23, 1 Sam 14:5, 1 Sam 14:31, Neh 11:31, Isa 10:28	
Michmethath		32.183333	35.283333	Josh 16:6, Josh 17:7	~
Middin		31.743894	35.401591	Josh 15:61	
Midian		>28.932881	>34.90832	Gen 36:35, Ex 2:15, Ex 2:16, Ex 3:1, Ex 4:19, Ex 18:1, Num 22:4, Num 22:7, Num 25:15, Num 25:18, Num 31:3, Num 31:7, Num 31:8, Num 31:9, Josh 13:21, Judg 6:1, Judg 6:2, Judg 6:6, Judg 6:13, Judg 6:14, Judg 7:1, Judg 7:8, Judg 7:13, Judg 7:14, Judg 7:15, Judg 7:23, Judg 7:25, Judg 8:1, Judg 8:3, Judg 8:5, Judg 8:12, Judg 8:22, Judg 8:26, Judg 8:28, Judg 9:17, 1 Kgs 11:18, 1 Chr 1:46, Ps 83:9, Isa 9:4, Isa 10:26, Isa 60:6, Hab 3:7, Acts 7:29	region
Migdal-el		33.232131	35.362942	Josh 19:38	
Migdal-gad		31.666667	34.583333	Josh 15:37	~
Migdol		30.020296?	32.372233?	Ex 14:2, Num 33:7, Jer 44:1, Jer 46:14, Ezek 29:10, Ezek 30:6	
Migron	Gibeah 1	~31.82378102460309	~35.23100936128631	1 Sam 14:2, Isa 10:28	
Miletus		37.5	27.3	Acts 20:15, Acts 20:17, 2 Tim 4:20	
Millo	Jerusalem	<31.777444	<35.234935	2 Sam 5:9, 1 Kgs 9:15, 1 Kgs 9:24, 1 Kgs 11:27, 1 Chr 11:8, 2 Chr 32:5	
Minni	Ashkenaz	~40.6	~44.6	Jer 51:27	
Minnith		31.750000	35.850000	Judg 11:33, Ezek 27:17	~
Mishal	Abdon	~33.046264	~35.172513	Josh 19:26, Josh 21:30	
Misrephoth-maim		33.118952	35.139434	Josh 11:8, Josh 13:6	now Narouq
Mithkah	Mount Hor 1	~30.317396	~35.407152	Num 33:28, Num 33:29	
Mitylene		39.10033557286295	26.55180477541001	Acts 20:14	
Mizpah 1	Ramoth-gilead	32.56526757366849	36.00555930879645	Gen 31:49, Judg 10:17, Judg 11:11, Judg 11:29, Judg 11:34, Hos 5:1	
Mizpah 2	Valley of Mizpeh	33.281770	35.573371	Josh 11:3	
Mizpah 3		31.83273947023218	35.1801628605877	Judg 20:1, Judg 20:3, Judg 21:1, Judg 21:5, Judg 21:8, 1 Sam 7:5, 1 Sam 7:6, 1 Sam 7:7, 1 Sam 7:11, 1 Sam 7:12, 1 Sam 7:16, 1 Sam 10:17,1 Kgs 15:22, 2 Kgs 25:23, 2 Kgs 25:25, 2 Chr 16:6, Neh 3:7, Neh 3:15, Neh 3:19, Jer 40:6, Jer 40:8, Jer 40:10, Jer 40:12, Jer 40:13, Jer 40:15, Jer 41:1, Jer 41:3, Jer 41:6, Jer 41:10, Jer 41:14, Jer 41:16	
Mizpeh 1	Mizpah 3	31.83273947023218	35.1801628605877	Josh 18:26	
Mizpeh 2	Lachish	~31.56485056116292	~34.8467256730566	Josh 15:38	
Mizpeh 3	Kir	31.18132579594509	35.70214779044711	1 Sam 22:3	
Moab	Dibon 1	>31.49684513710609	>35.78284105296996	Gen 36:35, Ex 15:15, Num 21:11, Num 21:13, Num 21:15, Num 21:20, Num 21:26, Num 21:28, Num 21:29, Num 22:1, Num 22:3, Num 22:4, Num 22:7, Num 22:8, Num 22:10, Num 22:14, Num 22:21, Num 22:36, Num 23:6, Num 23:7, Num 23:17, Num 24:17, Num 25:1, Num 26:3, Num 26:63, Num 31:12, Num 33:44, Num 33:48, Num 33:49, Num 33:50, Num 35:1, Num 36:13, Deut 1:5, Deut 2:8, Deut 2:9, Deut 2:18, Deut 29:1, Deut 32:49, Deut 34:1, Deut 34:5, Deut 34:6, Deut 34:8, Josh 13:32, Josh 24:9, Judg 3:12, Judg 3:14, Judg 3:15, Judg 3:17, Judg 3:30, Judg 10:6, Judg 11:15, Judg 11:17, Judg 11:18, Judg 11:25, Ruth 1:1, Ruth 1:2, Ruth 1:6, Ruth 1:22, Ruth 2:6, Ruth 4:3, 1 Sam 12:9, 1 Sam 14:47, 1 Sam 22:3, 1 Sam 22:4, 2 Sam 8:2, 2 Sam 8:12, 2 Sam 23:20, 1 Kgs 11:7, 1 Kgs 11:33, 2 Kgs 1:1, 2 Kgs 3:4, 2 Kgs 3:5, 2 Kgs 3:7, 2 Kgs 3:10, 2 Kgs 3:13, 2 Kgs 3:23, 2 Kgs 3:26, 2 Kgs 23:13, 1 Chr 1:46, 1 Chr 4:22, 1 Chr 8:8, 1 Chr 11:22, 1 Chr 18:2, 1 Chr 18:11, 2 Chr 20:10, 2 Chr 20:22, 2 Chr 20:23, Neh 13:23, Ps 60:8, Ps 83:6, Ps 108:9, Isa 11:14, Isa 15:1, Isa 15:2, Isa 15:4, Isa 15:5, Isa 15:8, Isa 15:9, Isa 16:2, Isa 16:4, Isa 16:6, Isa 16:7, Isa 16:11, Isa 16:12, Isa 16:13, Isa 16:14, Isa 25:10, Jer 9:26, Jer 25:21, Jer 27:3, Jer 40:11, Jer 48:1, Jer 48:2, Jer 48:4, Jer 48:9, Jer 48:11, Jer 48:13, Jer 48:15, Jer 48:16, Jer 48:18, Jer 48:20, Jer 48:24, Jer 48:25, Jer 48:26, Jer 48:28, Jer 48:29, Jer 48:31, Jer 48:33, Jer 48:35, Jer 48:36, Jer 48:38, Jer 48:39, Jer 48:40, Jer 48:41, Jer 48:42, Jer 48:43, Jer 48:44, Jer 48:45, Jer 48:46, Jer 48:47, Ezek 25:8, Ezek 25:9, Ezek 25:11, Dan 11:41, Amos 2:1, Amos 2:2, Mic 6:5, Zeph 2:8, Zeph 2:9	
Moladah		31.162327	35.057114	Josh 15:26, Josh 19:2, 1 Chr 4:28, Neh 11:26	
Moreh 1	Shechem	~32.21369123124062	~35.2817986718367	Gen 12:6, Deut 11:30	
Moreh 2		32.61773063505183	35.35737645291343	Judg 7:1	
Moresheth	Mareshah	~31.60393321295081	~34.90237777777779	Jer 26:18, Mic 1:1	
Moresheth-gath	Mareshah	~31.60393321295081	~34.90237777777779	Mic 1:14	
Moriah	Mount Moriah	31.77759385009378	35.23525140955081	Gen 22:2	
Mortar	Jerusalem	<31.777444	<35.234935	Zeph 1:11	
Moserah	Mount Hor 1	~30.317396	~35.407152	Deut 10:6	
Moseroth	Mount Hor 1	~30.317396	~35.407152	Num 33:30, Num 33:31	
Most Holy		?	?	Ex 26:33	mobile
Most Holy Place 1		?	?	Ex 26:34	mobile
Most Holy Place 2	Jerusalem	<31.777444	<35.234935	1 Kgs 6:16, 1 Kgs 7:50, 1 Kgs 8:6, 1 Chr 6:49, 2 Chr 3:8, 2 Chr 3:10, 2 Chr 4:22, 2 Chr 5:7, Ezek 41:4, Ezek 45:3, Heb 9:3	
Mount	Mount of Olives	31.77809503341373	35.2471976093501	Zech 14:4	
Mount Baal-hermon	Mount Hermon	33.41615982399708	35.85725617635589	Judg 3:3	
Mount Baalah	Jabneel 1	~31.865518	~34.746856	Josh 15:11	
Mount Carmel		32.729350157734	35.04978957235391	1 Kgs 18:19, 1 Kgs 18:20, 1 Kgs 18:42, 2 Kgs 2:25, 2 Kgs 4:25	
Mount Ebal		32.23293813761263	35.27304180036391	Deut 11:29, Deut 27:4, Deut 27:13, Josh 8:30, Josh 8:33	
Mount Ephraim	Mount Ebal	32.23293813761263	35.27304180036391	Jer 4:15	?
Mount Ephron		~31.675746	~35.042407	Josh 15:9	
Mount Esau	Bozrah 1	>30.734691	>35.606250	Obad 1:8, Obad 1:9, Obad 1:19, Obad 1:21	
Mount Gerizim		32.19956174365378	35.27285228460234	Deut 11:29, Deut 27:12, Josh 8:33, Judg 9:7	
Mount Gilboa		32.50984080716704	35.40843470396692	1 Sam 31:1, 1 Sam 31:8, 2 Sam 1:6, 1 Chr 10:1, 1 Chr 10:8	
Mount Gilead	Mount Gilboa	32.50984080716704	35.40843470396692	Judg 7:3	
Mount Halak		30.916667	34.833333	Josh 11:17, Josh 12:7	?; http://www.bibleorigins.net/MountHalakGebelHalaqMap.html
Mount Heres	Beth-shemesh 1	31.75274835811488	34.97660913147738	Judg 1:35	
Mount Hermon		33.41615982399708	35.85725617635589	Deut 3:8, Josh 11:17, Josh 12:1, Josh 12:5, Josh 13:5, Josh 13:11, 1 Chr 5:23	
Mount Hor 1		30.317396	35.407152	Num 20:22, Num 20:23, Num 20:25, Num 20:27, Num 21:4, Num 33:37, Num 33:38, Num 33:39, Num 33:41, Deut 32:50	
Mount Hor 2		~35.710069	~36.188080	Num 34:7, Num 34:8	
Mount Horeb	Mount Sinai	28.539722	33.973333	Ex 33:6	
Mount Jearim	Chesalon	31.781049	35.051130	Josh 15:10	
Mount Lebanon	Lebanon	>33.752479	>35.590804	Judg 3:3	
Mount Mizar	Mount Hermon	~33.41615982399708	~35.85725617635589	Ps 42:6	
Mount Moriah		31.77759385009378	35.23525140955081	2 Chr 3:1	
Mount Nebo		31.76135780447535	35.74614824478083	Deut 32:49, Deut 34:1	
Mount Paran	Paran	<~29.151667	<~33.541944	Deut 33:2, Hab 3:3	
Mount Perazim	Valley of Rephaim	~31.756332	~35.223059	Isa 28:21	
Mount Seir 1	Bozrah 1	>30.734691	>35.606250	Deut 1:2, Deut 2:1, Deut 2:5, 1 Chr 4:42, 2 Chr 20:10, 2 Chr 20:22, 2 Chr 20:23, Ezek 35:2, Ezek 35:3, Ezek 35:7, Ezek 35:15	mountain range
Mount Seir 2		31.783333	34.994000	Josh 15:10	
Mount Shepher	Mount Hor 1	~30.317396	~35.407152	Num 33:23, Num 33:24	
Mount Sinai		28.539722	33.973333	Ex 19:11, Ex 19:18, Ex 19:20, Ex 19:23, Ex 24:16, Ex 31:18, Ex 34:2, Ex 34:4, Ex 34:29, Ex 34:32, Lev 7:38, Lev 25:1, Lev 26:46, Lev 27:34, Num 3:1, Num 28:6, Neh 9:13, Acts 7:30, Acts 7:38, Gal 4:24, Gal 4:25	
Mount Sirion	Mount Hermon	33.41615982399708	35.85725617635589	Deut 4:48	
Mount Tabor		32.68695640243183	35.39091304299688	Judg 4:6, Judg 4:12, Judg 4:14	
Mount Zalmon	Mount Ebal	32.23293813761263	35.27304180036391	Judg 9:48	
Mount Zemaraim	Zemaraim	31.910999	35.457280	2 Chr 13:4	
Mount Zion	Jerusalem	<31.777444	<35.234935	2 Kgs 19:31, Ps 48:2, Ps 48:11, Ps 74:2, Ps 78:68, Ps 125:1, Isa 4:5, Isa 8:18, Isa 10:12, Isa 18:7, Isa 24:23, Isa 29:8, Isa 31:4, Isa 37:32, Lam 5:18, Joel 2:32, Obad 1:17, Obad 1:21, Mic 4:7, Heb 12:22, Rev 14:1	
Mount of Olives		31.77809503341373	35.2471976093501	2 Sam 15:30, Zech 14:4, Matt 21:1, Matt 24:3, Matt 26:30, Mark 11:1, Mark 13:3, Mark 14:26, Luke 19:37, Luke 22:39, John 8:1	
Mozah		31.802641	35.158376	Josh 18:26	~
Muster Gate	Jerusalem	<31.777444	<35.234935	Neh 3:31	
Myra		36.2307717908834	30.01145882074154	Acts 27:5	
Mysia	Troas	~39.50664305923271	~26.08059270470616	Acts 16:7, Acts 16:8	
Naamah		31.871782	34.871894	Josh 15:41	
Naarah	Naaran	31.949518	35.458730	Josh 16:7	
Naaran		31.949518	35.458730	1 Chr 7:28	~
Nahalal	Nahalol	32.722209	35.352820	Josh 19:15, Josh 21:35	
Nahaliel	Lasha	31.718148	35.584826	Num 21:19	?
Nahalol		32.722209	35.352820	Judg 1:30	
Nain		32.63083336680386	35.34782689102158	Luke 7:11	
Naioth	Mizpah 3	~31.83273947023218	~35.1801628605877	1 Sam 19:18, 1 Sam 19:19, 1 Sam 19:22, 1 Sam 19:23, 1 Sam 20:1	
Naphath	Megiddo	~32.58418313614938	~35.18229165870594	Josh 17:11	
